Template_ID,Customer_ID,Route_Name,Start_Point,End_Point,Route_Type,Pickup_Time,Departure_Time,Capacity,Price_Excl_VAT
443,1,БТК ОП Порошкино (ст.м. Девяткино),"Всеволожский район, трасса Юкки - Кузьмолово, 7-й километр, 19",Ст.м. Девяткино,Прямой,16:55:00,17:05:00,19.0,5000.0
444,1,БТК ОП Порошкино (ст.м. Парнас),"Всеволожский район, трасса Юкки - Кузьмолово, 7-й километр, 19",Ст.м. Парнас,Прямой,16:55:00,17:05:00,19.0,4500.0
445,8,ПИТ-ПРОДУКТ (ст.м. Московская),"ул. Понссе, 3",Ст.м. Московская,Прямой,16:55:00,17:05:00,50.0,3300.0
446,66,АО ЮЗ ТЭЦ,"ул. Доблести, 1",Ст.м. Ленинский пр.,Прямой,17:00:00,17:10:00,30.0,
447,42,"Аюна (Комендантский, 65)","Шафировский пр., 17П","Комендантский проспект, 65",Прямой,17:00:00,17:10:00,35.0,8000.0
448,42,Аюна (ст.м. Проспект Просвещения),"Шафировский пр., 17П",Просвещения 31,Прямой,17:00:00,17:10:00,19.0,4508.2
449,26,Оглаенд Систем,"Горское ш., 169","Коломяжский пр., 24",Прямой,17:00:00,17:10:00,25.0,4700.0
450,40,Петрович (ст.м.Гражданский проспект),"ЦО (6-й Верхний переулок, 12В)",Ст.м.Гражданский пр.,Прямой,17:10:00,17:10:00,20.0,1800.0
451,40,Петрович (ст.м.Парнас),"ЦО (6-й Верхний переулок, 12В)",Ст.м. Парнас,Прямой,17:10:00,17:10:00,50.0,2000.0
452,27,Равиолло,"Петергофское ш., 73к2",Ст.м. Ленинский пр.,Прямой,16:55:00,17:10:00,20.0,3325.0
453,27,Равиолло,"Петергофское ш., 73к2",Ст.м. Проспект Ветеранов,Прямой,16:55:00,17:10:00,20.0,2850.0
454,49,ФГУП ФЭО,"Колпино, полигон Красный Бор","Колпино, ж/д станция",Прямой,17:00:00,17:10:00,19.0,4486.3
455,50,ХАБ  (ст.м. Ветеранов),"Волхонское шоссе, 11, лит. Б",Ст.м. Проспект Ветеранов,Прямой,17:00:00,17:10:00,19.0,3500.0
456,36,OZON КГТ Волхонское (Ст.м. Ветеранов),"Волхонское шоссе, 108с5","бульвар Новаторов, 83А",Прямой,17:00:00,17:10:00,5.0,4500.0
457,62,Касимово (школа),"д.Касимово, Новая ул., 12",Ст.м. Озерки,Прямой,17:05:00,17:15:00,19.0,3000.0
458,3,ЛеманаПро (ст.м. Купчино),"Московское ш., 177А",Ст.м. Купчино,Прямой,17:05:00,17:15:00,20.0,3400.0
459,3,ЛеманаПро (ст.м. Купчино),"Московское ш., 177А",Ст.м. Купчино,Прямой,17:00:00,17:15:00,20.0,3400.0
460,45,Сбербанк,"ул.Львовская, 27",Ст.м. Пл.Ленина,Прямой,17:05:00,17:15:00,40.0,2450.0
461,10,OZON Бугры (ст.м. Девяткино),"Бугры, Шоссейная ул., 50к1",Ст.м. Девяткино,Прямой,17:05:00,17:15:00,19.0,4500.0
462,9,OZON Шушары,"Московское ш., 145с10",Ст.м. Шушары,Прямой,17:00:00,17:15:00,20.0,3000.0
463,43,ЛСР,"Муринская дорога, 10",Ст.м. Гражданский проспект,Прямой,17:10:00,17:20:00,55.0,5250.0
464,41,Респект,"6-й Предпортовый пр-д, 14к13",Ст.м. Московская,Прямой,17:10:00,17:20:00,19.0,3523.81
465,41,Респект,"6-й Предпортовый пр-д, 14к13",Ст.м. Московская,Прямой,17:10:00,17:20:00,19.0,4000.0
466,34,Сатурн (Ст.м. Гражданский Проспект),"Индустриальный, 71",Ст.м. Гражданский Проспект,Прямой,17:20:00,17:20:00,30.0,
467,34,Сатурн (Ст.м. Ладожская),"Индустриальный, 71",Ст.м. Ладожская,Прямой,17:20:00,17:20:00,20.0,
468,62,Касимово (школа),"д.Касимово, Новая ул., 12",Ст.м. Озерки,Прямой,17:15:00,17:25:00,19.0,3000.0
469,16,"Санаторий ""Белые ночи""","38-й км Приморского шоссе, 2","пос. Первомайское,ул. Советская 4 (маг. Пятерочка"")",Прямой,17:15:00,17:25:00,19.0,7000.0
470,7,Коломенское - Хлебный дом (Смоленская),"Пушкин, Тиньков переулок, 7Д","Смоленская улица, 18А",Прямой,17:20:00,17:30:00,19.0,4500.0
471,7,Муринская - Коломенское,"Тиньков переулок, 7Д","Ул. Ольги Форш, 10",Прямой,17:20:00,17:30:00,19.0,8000.0
472,7,Муринская - Хлебный дом - Коломенское,"Тиньков переулок, 7Д","Ул. Ольги Форш, 10",1/2 круга,17:20:00,17:30:00,19.0,6600.0
473,74,НПО Промет,"Московское ш., 139",Ст.м.Купчино,Прямой,17:30:00,17:30:00,20.0,4016.39
474,30,Теплореконструкция,"Кронштадт, Петровская улица, 2А",Ст.м. Черная Речка,Прямой,17:20:00,17:30:00,35.0,10000.0
475,59,ТИС,"Новоселье, ул. Петропавловская дом 13",Ст.м. Проспект Ветеранов,Прямой,17:15:00,17:30:00,20.0,4508.2
476,47,"ТИС, ""Сестрорецкий курорт""","Сестрорецк, ул. Максима Горького, 2",Ст.м.Черная Речка,Прямой,17:20:00,17:30:00,19.0,4000.0
477,48,"ТИС, ""Сестрорецкий курорт""","Сестрорецк, ул. Максима Горького, 2",Ст.м.Черная Речка,Прямой,17:20:00,17:30:00,19.0,4000.0
478,42,Аюна,"Шафировский пр., 17П","Комендантский проспект, 65",Прямой,17:30:00,17:40:00,19.0,4000.0
479,42,Аюна,"Шафировский пр., 17П","Комендантский проспект, 65",Прямой,17:30:00,17:40:00,35.0,7000.0
480,65,Текманн,"ул. 3-я Конная Лахта, 38",Ст.м. Черная речка,Прямой,17:30:00,17:40:00,18.0,4016.39
481,67,Valtec,"ул. Профессора Качалова, 11к3",Амбарная ул.,Прямой,17:30:00,17:40:00,35.0,4500.0
482,71,АПГ,"Гатчина, Индустриальная, 16Б","Авиационная ул, напротив дома 7, остановка",Прямой,18:00:00,18:00:00,10.0,2916.666666666667
483,71,АПГ,"Гатчина, проезд Энергетиков, 15","Авиационная ул, напротив дома 7, остановка",Прямой,18:00:00,18:00:00,10.0,5491.8
484,55,Би Си Си,"АК ""Левашово""",Ст.м. Проспект Просвещения,Прямой,17:50:00,18:00:00,19.0,4000.0
485,62,Касимово (школа),"д.Касимово, Новая ул., 12",Ст.м. Озерки,Прямой,17:50:00,18:00:00,19.0,3000.0
